Ticker,MCapM,MCapFinnhubM,SharesOutstandingM,MCapDivergenciaPct,MCapEstado,Pais,Industria,High52,Low52,regime_reporte,Nome,destino,motivo,faltas,Price,AvgVolN,RelVol,TendVol,RSI,SMA20_pct,Eco,Vol20d
CCO,1221.552,1221.560414876033,508.98,0.0006888676072014377,COERENTE,US,Media,2.43,0.9998,10-Q,"Clear Channel Outdoor Holdings, Inc. Common Stock",PASSA_FASE0,,0,2.4,7135629.206007539,1.9729503748482928,0.7404453650532101,46.12274591294001,-0.3735990037359804,1.0,5.473202128117471
ABEO,355.11,355.0797451744187,57.0,0.008519846126919806,COERENTE,US,Biotechnology,7.54,4.0,10-Q,Abeona Therapeutics Inc. Common Stock,PASSA_FASE0,,0,6.23,1234216.7223040636,1.3843286183640575,1.1498857756513703,47.861465410344834,-5.4843358871273455,1.5266245531379006,53.2314009914488
ALVO,1101.8894999999998,1378.2230025580645,312.15,25.078150082931614,DIVERGENTE,LU,Biotechnology,9.94,2.94,20-F,Alvotech Ordinary Shares,PASSA_FASE0,,0,3.53,730146.1006595398,4.158327804174284,0.8338035622783212,54.08336903750089,5.216095380029806,1.0,67.60125442238696
HDSN,245.6888,245.68173037662336,42.07,0.0028774707583778536,COERENTE,US,Trading Companies & Distributors,10.52,4.64,10-Q,Hudson Technologies Inc,PASSA_FASE0,,0,5.84,523978.390176508,1.2176656655975302,1.0224955740118813,43.57416374322794,-5.547468866246175,1.7447382951052772,41.19875297278165
RWT,586.0296,586.0096553832975,125.22,0.003403346298969101,COERENTE,US,Real Estate,6.97,4.19,10-Q,"Redwood Trust, Inc.",PASSA_FASE0,,0,4.68,2368913.574357603,1.3644398588051114,1.878640860804085,37.846173100150345,-4.606604158173678,10.4888679026309,42.78467728142785
WIMI,44.124,30.34,36.77,31.239234883510115,DIVERGENTE,CN,Media,5.65,1.07,20-F,WiMi Hologram Cloud Inc. Class B Ordinary Shares,PASSA_FASE0,,0,1.2,181242.29759030163,1.4663066758221277,0.3723566240983322,34.69515550246122,-9.24560408394781,1.0,53.98978395730251
BRAI,1154.104,1154.0941683520277,206.09,0.0008518857895212228,COERENTE,AU,Technology,98.99,5.15,20-F,Braiin Limited Common Stock,PASSA_FASE0,,0,5.6,405140.2257589205,2.714971897815261,1.332655385100974,44.73762317771276,-2.434775033755832,8.035351908564763,103.0408778041437
XXI,2834.6775,3909.9,651.65,37.93103448275863,DIVERGENTE,US,Financial Services,31.2,4.17,10-Q,"Twenty One Capital, Inc.",PASSA_FASE0,,0,4.35,1432520.73511546,1.2327853404088165,1.0956398798635525,28.943662084358067,-14.697519364643597,3.361528562455792,62.27468626187439
EPRX,388.16939999999994,558.54537,65.02,43.89216924363439,DIVERGENTE,CA,Biotechnology,12.86,6.94,20-F,Eupraxia Pharmaceuticals Inc. Common Stock,PASSA_FASE0,,0,5.97,321668.86378601595,2.4402390616493497,0.9394719721318194,42.27998658629446,-7.088942494747519,1.1487317291066206,59.76343723466053
INVE,60.985400000000006,60.97578034456929,24.01,0.015773702280741375,COERENTE,US,Electrical Equipment,5.3,2.43,10-Q,"Identive, Inc.",PASSA_FASE0,,0,2.54,210429.12878893653,2.364433646917037,1.1383476975025335,32.60695130663896,-7.560731507597119,1.6388793938202972,48.09155215835484
