Ticker,na_shortlist,A,B,C,B_rsi,B_macd,B_bounce,C_lateral,C_hl,C_coil,n
BMBL,False,False,True,True,False,True,False,True,True,True,2
CDZI,False,True,False,False,False,False,False,False,False,False,1
DGXX,False,False,False,True,False,False,False,False,False,True,1
TSHA,False,True,False,True,False,False,False,True,True,False,2
AMS,False,False,True,True,False,True,False,True,True,True,2
LSAK,False,True,False,True,False,False,False,True,False,True,2
GAU,True,True,False,True,False,False,False,True,False,True,2
RZLV,False,False,False,True,False,False,False,True,False,True,1
FJET,False,False,False,True,False,False,False,False,False,True,1
LAR,False,False,False,True,False,False,False,False,False,True,1
GP,False,False,False,True,False,False,False,False,True,False,1
ANY,False,True,True,True,False,True,True,False,False,True,3
SUPX,False,True,False,True,False,False,False,False,False,True,2
LODE,False,True,False,False,False,False,False,False,False,False,1
ISPC,False,True,False,False,False,False,False,False,False,False,1
NNBR,False,True,False,True,False,False,False,False,True,False,2
LNAI,False,False,False,True,False,False,False,False,False,True,1
GDYN,False,True,False,True,False,False,False,True,True,False,2
SLI,False,False,True,False,False,True,False,False,False,False,1
LAW,False,False,True,True,False,True,True,True,True,True,2
CNVS,False,False,False,True,False,False,False,True,False,True,1
SCZM,False,True,False,True,False,False,False,False,False,True,2
CMPX,False,True,False,True,False,False,False,True,False,True,2
NNVC,False,False,False,True,False,False,False,True,True,True,1
VANI,False,True,False,True,False,False,False,True,True,False,2
VGZ,False,False,True,False,False,True,True,False,False,False,1
STTK,False,True,False,True,False,False,False,False,True,True,2
MNTS,False,False,True,True,False,True,False,False,False,True,2
OPAL,False,False,False,True,False,False,False,True,True,False,1
VIVO,False,False,False,False,False,False,False,False,False,False,0
GTE,True,False,False,True,False,False,False,False,True,False,1
FIEE,True,True,False,False,False,False,False,False,False,False,1
ASTC,False,True,True,True,False,True,False,False,False,True,3
AVXL,False,False,False,True,False,False,False,True,False,False,1
FTEK,False,True,False,True,False,False,False,False,True,True,2
SCLX,False,True,False,True,False,False,False,False,True,True,2
CSTE,False,True,False,True,False,False,False,False,True,False,2
PAVS,False,True,True,True,False,False,True,False,False,True,3
SNAL,False,True,False,True,False,False,False,False,True,True,2
CVM,False,True,False,True,False,False,False,False,True,True,2
ACB,True,False,True,True,True,False,False,True,False,True,2
NEOV,False,False,False,True,False,False,False,False,True,True,1
GRAB,True,True,False,True,False,False,False,True,False,False,2
IPWR,False,False,False,True,False,False,False,False,False,True,1
HYLN,False,False,False,True,False,False,False,False,False,True,1
ZENA,False,False,False,True,False,False,False,False,False,True,1
PBM,False,True,False,True,False,False,False,False,True,True,2
NUAI,False,True,False,False,False,False,False,False,False,False,1
OM,False,False,True,True,False,True,True,True,True,False,2
SWIM,False,False,False,True,False,False,False,True,True,False,1
RC,False,True,False,True,False,False,False,True,False,True,2
NAK,False,True,False,False,False,False,False,False,False,False,1
TLRY,True,True,False,True,False,False,False,True,False,False,2
MOBX,False,True,False,True,False,False,False,False,False,True,2
