Ticker,Nome,destino,motivo,faltas,Price,AvgVolN,RelVol,TendVol,RSI,SMA20_pct,Eco,Vol20d
CGTX,"Cognition Therapeutics, Inc. Common Stock",PASSA_FASE0,,0,0.9011,1423109.6674972859,0.2463197933785862,0.8889769693536377,37.30877309189331,-10.535486465153909,7.558306029852719,55.783424903775256
BB,BlackBerry Limited,PASSA_FASE0,,0,7.81,33374172.7690546,0.4091668420916437,0.7337942509062338,32.21934539375644,-21.543020744386965,3.731227376709824,65.07305664343089
MVST,"Microvast Holdings, Inc. Common Stock",PASSA_FASE0,,0,0.712,4986533.608400015,0.7181556488632668,0.9221848129010168,21.74072894907657,-25.904341672563792,3.621620688241612,64.03865938076814
LONA,"LeonaBio, Inc. Common Stock",PASSA_FASE0,,0,7.04,33300.36985944444,0.44220717578076985,1.1978184551826312,37.19152781562211,-14.292671049427796,21.45481619481375,83.88045437936579
BGM,BGM Group Ltd. Class A Ordinary Shares,PASSA_FASE0,,0,0.2865,434599.43823212694,0.030963099130405757,0.9306957821589738,43.888945729602575,-7.84299534390005,485.4443065368695,104.07833513297919
DAL,"Delta Air Lines, Inc.",PASSA_FASE0,,0,86.25,7612132.333401398,0.7174494265479576,0.9340748369941617,51.10092533468117,-0.8814369605939176,2.003699841613858,31.01867386705625
JRVR,"James River Group Holdings, Inc. Common Stock",PASSA_FASE0,,0,4.73,442560.9645319207,0.39949580758211634,0.6093791094912487,60.015281186501895,3.6996437380104386,2.8281365147869124,29.326289451353755
CNTY,Century Casinos Inc,PASSA_FASE0,,0,1.17,72198.3866176508,0.1500548784195603,0.7235580453258856,35.927361933548866,-4.80065093572013,13.260238217086094,33.60172970443197
GCBC,Greene County Bancorp Inc,PASSA_FASE0,,0,34.13,38296.75151161905,0.5260063635916562,1.1739197753146287,65.3132505448072,2.980334769063675,6.4906186834164545,34.5132248655052
EVLV,"Evolv Technologies Holdings, Inc. Class A Common Stock",PASSA_FASE0,,0,5.55,2680861.393534715,1.277323135931704,0.7211954553295014,44.67272123700549,-4.417463187806758,1.3574634254466749,48.002121362985946
IDT,IDT Corporation Class B,PASSA_FASE0,,0,67.1,188940.5140224762,1.2039926440019042,1.0027137402619895,71.85209040318969,7.281041153710843,1.5391874357033797,23.184159260392608
GPRK,GEOPARK LIMITED,PASSA_FASE0,,0,9.39,542196.2878720317,0.8575087013962257,0.7202256250429476,43.35826687329627,-3.548867546607748,1.2828422365673096,43.233262605582844
ENLV,Enlivex Ltd. Ordinary Shares,PASSA_FASE0,,0,2.25,105944.88619865081,3.53162677306991,2.6574631939109623,9.397895098669665,-59.768265207595746,10.795417936288056,224.25280301690057
DBVT,DBV Technologies S.A.,PASSA_FASE0,,0,13.73,269096.8211735873,1.5607331230013919,0.9734635908297078,35.238058979406915,-9.084889418620035,1.348062928438267,55.010335636842214
WLDN,"Willdan Group, Inc.",PASSA_FASE0,,0,67.71,378713.980331762,0.6104625063338611,0.7320664285177119,27.793980638193432,-7.958322288603858,2.292981687277886,31.247807868908577
